FL_DATE,ORIGIN,DEST,DEP_DELAY,ARR_DELAY
8/1/2018,DFW,MIA,0,9
8/1/2018,BDL,LAX,9,-23
8/1/2018,ORD,SEA,-2,-2
8/1/2018,SEA,ORD,-5,2
8/1/2018,LAX,MSY,-1,-13
8/1/2018,MSY,LAX,-3,-14
8/1/2018,DCA,MIA,-2,0
8/1/2018,MIA,DCA,1,-7
8/1/2018,EWR,ORD,-8,-19
8/1/2018,ORD,SNA,2,-13
8/1/2018,SNA,PHX,-6,-5
8/1/2018,MSP,CLT,-3,-7
8/1/2018,MIA,BOS,-4,0
8/1/2018,DFW,DCA,-6,-21
8/1/2018,SAN,DFW,-4,1
8/1/2018,DFW,LGA,-5,-31
8/1/2018,LGA,DFW,-12,-11
8/1/2018,BOS,PHX,8,37
8/1/2018,CLT,RDU,-3,-12
8/1/2018,RDU,CLT,-3,-10
8/1/2018,EWR,MIA,-5,0
8/1/2018,MIA,EWR,-4,-15
8/1/2018,MIA,LAX,27,31
8/1/2018,ORD,STL,67,57
8/1/2018,PHL,MIA,-1,1
8/1/2018,DFW,SAN,-4,-7
8/1/2018,SAN,DFW,-2,-5
8/1/2018,SLC,PHX,51,40
8/1/2018,DEN,DFW,-4,-18
8/1/2018,RSW,DFW,61,75
8/1/2018,LAX,ATL,-6,-11
8/1/2018,ORD,SLC,50,45
8/1/2018,SLC,ORD,37,90
8/1/2018,ORD,STL,71,82
8/1/2018,MIA,BOS,44,61
8/1/2018,DFW,BNA,-5,-14
8/1/2018,MCO,PHL,-6,-11
8/1/2018,PHL,MCO,-2,3
8/1/2018,DFW,SEA,2,25
8/1/2018,SEA,DFW,16,11
8/1/2018,DCA,LAS,-3,-18
8/1/2018,PDX,PHX,0,17
